city,stratum,cell_id,donor_cell_id,profile_level,context_distance,area_m2
Ezhou,Transitional,Ezhou_114.868698_30.346213,Ezhou_114.857469_30.409095,upper,0.75298347946625688,53816.251377577857
Ezhou,Transitional,Ezhou_114.870944_30.343967,Ezhou_114.855224_30.330493,upper,1.758163191029473,53817.486255072152
Ezhou,Transitional,Ezhou_114.873190_30.352951,Ezhou_114.855224_30.370917,upper,0.6781517058205887,53812.546248048879
Ezhou,Transitional,Ezhou_114.873190_30.368671,Ezhou_114.866452_30.364179,upper,0.49723293689709597,53803.898052207856
Ezhou,Transitional,Ezhou_114.882173_30.379900,Ezhou_114.866452_30.364179,upper,0.4705766539765866,53797.718289608434
Ezhou,Transitional,Ezhou_114.884419_30.366425,Ezhou_114.866452_30.364179,upper,0.63608059495078972,53805.133756522628
Ezhou,Transitional,Ezhou_114.900139_30.373163,Ezhou_114.852978_30.397866,upper,0.85051524805722911,53801.426394878625
Ezhou,Transitional,Ezhou_114.904631_30.373163,Ezhou_114.850732_30.352951,upper,1.0590857129373819,53801.426394878625
Fuzhou,Hilly,Fuzhou_116.332952_27.999365,Fuzhou_116.328461_27.999365,moderate,0.37672023653325981,55061.242525759284
Fuzhou,Hilly,Fuzhou_116.339690_27.952203,Fuzhou_116.330706_27.954449,moderate,0.17697785014166886,55085.321493550604
Fuzhou,Hilly,Fuzhou_116.344181_28.010593,Fuzhou_116.310494_27.945466,moderate,0.6229143744855612,55055.503939183131
Fuzhou,Hilly,Fuzhou_116.357656_27.945466,Fuzhou_116.375622_27.992627,moderate,0.61027513257647503,55088.758299874324
Fuzhou,Hilly,Fuzhou_116.364393_27.961186,Fuzhou_116.330706_27.952203,moderate,0.55420577140447247,55080.737900557193
Fuzhou,Hilly,Fuzhou_116.375622_27.934237,Fuzhou_116.402572_27.940974,moderate,0.28806958014683165,55094.484617324786
Fuzhou,Hilly,Fuzhou_116.382360_27.954449,Fuzhou_116.391343_27.927499,moderate,0.57138546634985521,55084.175722345753
Fuzhou,Hilly,Fuzhou_116.386851_27.931991,Fuzhou_116.400326_27.936482,moderate,0.39301024675365137,55095.629626975162
Fuzhou,Hilly,Fuzhou_116.398080_27.931991,Fuzhou_116.389097_27.927499,moderate,0.24475450224226866,55095.629626975162
Fuzhou,Hilly,Fuzhou_116.409309_27.914025,Fuzhou_116.395834_27.929745,moderate,0.23724933454916675,55104.786656193945
Fuzhou,Hilly,Fuzhou_116.283545_27.940974,Fuzhou_116.306003_27.920762,primary,0.18848997012211929,55091.04908072955
Fuzhou,Hilly,Fuzhou_116.294774_27.940974,Fuzhou_116.323969_27.954449,primary,0.63342678771129102,55091.049080641234
Fuzhou,Hilly,Fuzhou_116.312740_27.945466,Fuzhou_116.321723_27.963432,primary,0.82987370064425858,55088.758299874324
Fuzhou,Hilly,Fuzhou_116.317232_27.940974,Fuzhou_116.299265_27.949957,primary,0.28206518846922146,55091.04908072955
Fuzhou,Hilly,Fuzhou_116.330706_27.972415,Fuzhou_116.308249_27.956695,primary,0.25821208323104972,55075.006505075973
Fuzhou,Hilly,Fuzhou_116.335198_27.974661,Fuzhou_116.310494_27.952203,primary,0.27107442296974149,55073.85997214001
Fuzhou,Hilly,Fuzhou_116.337444_27.952203,Fuzhou_116.330706_27.945466,primary,0.50055598686689695,55085.321493550604
Fuzhou,Hilly,Fuzhou_116.346427_28.017331,Fuzhou_116.355410_28.037543,primary,0.22825619070020925,55052.059772108194
Fuzhou,Hilly,Fuzhou_116.380114_27.961186,Fuzhou_116.323969_27.949957,primary,0.46023866003196245,55080.737900557193
Fuzhou,Hilly,Fuzhou_116.395834_27.985890,Fuzhou_116.407063_27.990381,primary,0.27171014060276238,55068.126038349947
Fuzhou,Hilly,Fuzhou_116.285791_27.938728,Fuzhou_116.303757_27.925254,upper,0.3332628079453604,55092.194344290299
Fuzhou,Hilly,Fuzhou_116.290282_27.920762,Fuzhou_116.288036_27.918516,upper,0.10030438593936346,55101.353405056987
Fuzhou,Hilly,Fuzhou_116.297020_27.920762,Fuzhou_116.288036_27.918516,upper,0.098503582281911278,55101.353405056987
Fuzhou,Hilly,Fuzhou_116.362147_27.952203,Fuzhou_116.308249_27.931991,upper,0.57406468855638215,55085.321493550604
