model,quantity_basis,budget_fraction,stratum,n_cities,uniform_eligible_core_cooling_k,uniform_eligible_core_cooling_k_ci_low,uniform_eligible_core_cooling_k_ci_high,priority_eligible_core_cooling_k,priority_eligible_core_cooling_k_ci_low,priority_eligible_core_cooling_k_ci_high,difference_k,difference_k_ci_low,difference_k_ci_high,relative_difference_pct,relative_difference_pct_ci_low,relative_difference_pct_ci_high
cooling_no_far22_loco_k,vegetation_cover,0.5,Transitional,12,0.8298174609922085,0.7685337719299875,0.8920395473270755,0.8942802229975166,0.8377101899656507,0.9558543691262533,0.06446276200530825,0.041278929697776384,0.08577969843471692,8.142624300918294,5.019410158975469,11.195701394472799
cooling_representative18_loco_k,ndvi_uplift,0.25,Flat,8,0.464514004237745,0.4311583216607481,0.5012478664050615,0.440291991731294,0.40835728042541336,0.47258432493558455,-0.024222012506451,-0.037277486203657555,-0.009914601018507673,-5.080488172432197,-8.029768727352932,-1.924430685214651
cooling_representative18_loco_k,ndvi_uplift,0.25,Hilly,14,0.4761018781343039,0.4479268689940638,0.5031118754836267,0.44570234761695365,0.4159116609769103,0.4791905015000752,-0.030399530517350205,-0.043637097173878356,-0.016300611592618135,-6.461804937127815,-9.217664943900479,-3.557243166230904
cooling_representative18_loco_k,ndvi_uplift,0.25,Mountainous,7,0.4332864818711233,0.3611863895612003,0.5143612210414341,0.39941460121047395,0.3434565482758095,0.460725591769827,-0.033871880660649396,-0.05675101195748532,-0.013993295567158287,-6.90787954225437,-10.465871709302602,-3.382546356526734
cooling_representative18_loco_k,ndvi_uplift,0.25,Transitional,12,0.43117884537297374,0.4015939080005032,0.46185758828101287,0.39831520817956295,0.3761723762150742,0.4209085316163612,-0.032863637193410684,-0.04642648585513342,-0.01960841538933174,-7.248210491757991,-9.952491859459068,-4.456179033442579
cooling_representative18_loco_k,ndvi_uplift,0.5,Flat,8,0.92902800847549,0.8616329671745478,1.001075028155608,0.9110290851989999,0.8380019178836118,0.9874428276942204,-0.01799892327649002,-0.04044333194885283,0.004477889653709684,-1.9933787334284663,-4.591840854864028,0.5943545826843377
cooling_representative18_loco_k,ndvi_uplift,0.5,Hilly,14,0.9522037562686078,0.8965433228315068,1.006431981884951,0.9228366389658008,0.8677426368466316,0.9831254228641578,-0.029367117302806726,-0.048160202652482526,-0.008427124736804811,-3.0737261728234886,-5.115277729502902,-0.7825225148250633
cooling_representative18_loco_k,ndvi_uplift,0.5,Mountainous,7,0.8665729637422466,0.7217067021887489,1.0299045280673964,0.8418780630311754,0.7068530786477522,0.9919755317796953,-0.024694900711071145,-0.045692264018329605,-0.007876149257348395,-2.637056062148257,-4.5715378923967265,-0.9611439981959299
cooling_representative18_loco_k,ndvi_uplift,0.5,Transitional,12,0.8623576907459475,0.8030831725087637,0.9243054473609867,0.8341927037748366,0.7839893581667571,0.8874110423214953,-0.02816498697111086,-0.047471813408242566,-0.00865264812026722,-3.037929763233245,-5.1678138866600705,-0.8418071616170258
cooling_representative18_loco_k,vegetation_cover,0.25,Flat,8,0.464514004237745,0.4313062186438165,0.5012239773323517,0.532446967267862,0.4710012143623524,0.6026141505219607,0.06793296303011705,0.03390385913129541,0.10979784129743865,14.0429542539948,7.422188300450162,21.855450831152748
